col155 木賊 TOKUSA #2D6D4B
col156 御納戸茶 ONANDOCHA #465D4C
col157 緑青 ROKUSYOH #24936E
col158 錆青磁 SABISEIJI #86A697
col159 青竹 AOTAKE #00896C
col160 ビロード VELUDO #096148
col161 虫襖 MUSHIAO #20604F
col162 藍海松茶 AIMIRUCHA #0F4C3A
col163 沈香茶 TONOCHA2 #4F726C
col164 青緑 AOMIDORI #00AA90
col165 青磁 SEIJI #69B0AC
col166 鉄 TETSU #26453D
col167 水浅葱 MIZUASAGI #66BAB7
col168 青碧 SEIHEKI #268785
col169 錆鉄御納戸 SABITETSUONANDO #405B55
col170 高麗納戸 KORAINANDO #305A56
col171 白群 BYAKUGUN #78C2C4
col172 御召茶 OMESHICHA #376B6D
col173 瓶覗 KAMENOZOKI #A5DEE4
col174 深川鼠 FUKAGAWANEZUMI #77969A
col175 錆浅葱 SABIASAGI #6699A1
col176 水 MIZU #81C7D4
col177 浅葱 ASAGI #33A6B8
col178 御納戸 ONANDO #0C4842
col179 藍 AI #0D5661
col180 新橋 SHINBASHI #0089A7
col181 錆御納戸 SABIONANDO #336774
col182 鉄御納戸 TETSUONANDO #255359
col183 花浅葱 HANAASAGI #1E88A8
col184 藍鼠 AINEZUMI #566C73
col185 舛花 MASUHANA #577C8A
col186 空 SORA #58B2DC
col187 熨斗目花 NOSHIMEHANA #2B5F75
col188 千草 CHIGUSA #3A8FB7
col189 御召御納戸 OMESHIONANDO #2E5C6E
col190 縹 HANADA #006284
col191 勿忘草 WASURENAGUSA #7DB9DE
col192 群青 GUNJYO #51A8DD
col193 露草 TSUYUKUSA #2EA9DF
col194 黒橡 KUROTSURUBAMI #0B1013
col195 紺 KON #0F2540
col196 褐 KACHI #08192D
col197 瑠璃 RURI #005CAF
col198 瑠璃紺 RURIKON #0B346E
col199 紅碧 BENIMIDORI #7B90D2
col200 藤鼠 FUJINEZUMI #6E75A4
col201 鉄紺 TETSUKON #261E47
col202 紺青 KONJYO #113285
col203 紅掛花 BENIKAKEHANA #4E4F97
col204 紺桔梗 KONKIKYO #211E55
col205 藤 FUJI #8B81C3
col206 二藍 FUTAAI #70649A
col207 楝 OUCHI #9B90C2
col208 藤紫 FUJIMURASAKI #8A6BBE
col209 桔梗 KIKYO #6A4C9C
col210 紫苑 SHION #8F77B5
col211 滅紫 MESSHI #533D5B
col212 薄 USU #B28FCE
col213 半 HASHITA #986DB2
col214 江戸紫 EDOMURASAKI #77428D
col215 紫紺 SHIKON #3C2F41
col216 深紫 KOKIMURASAKI #4A225D
col217 菫 SUMIRE #66327C
col218 紫 MURASAKI #592C63
col219 菖蒲 AYAME #6F3381
col220 藤煤竹 FUJISUSUTAKE #574C57
col221 紅藤 BENIFUJI #B481BB
col222 黒紅 KUROBENI #3F2B36
col223 茄子紺 NASUKON #572A3F
col224 葡萄鼠 BUDOHNEZUMI #5E3D50
col225 鳩羽鼠 HATOBANEZUMI #72636E
col226 杜若 KAKITSUBATA #622954
col227 蒲葡 EBIZOME #6D2E5B
col228 牡丹 BOTAN #C1328E
col229 梅紫 UMEMURASAKI #A8497A
col230 似紫 NISEMURASAKI #562E37
col231 躑躅 TSUTSUJI #E03C8A
col232 紫鳶 MURASAKITOBI #60373E
col233 白練 SHIRONERI #FCFAF2
col234 胡粉 GOFUN #FFFFFB
col235 白鼠 SHIRONEZUMI #BDC0BA
col236 銀鼠 GINNEZUMI #91989F
col237 鉛 NAMARI #787878
col238 灰 HAI #828282
col239 素鼠 SUNEZUMI #787D7B
col240 利休鼠 RIKYUNEZUMI #707C74
col241 鈍 NIBI #656765
col242 青鈍 AONIBI #535953
col243 溝鼠 DOBUNEZUMI #4F4F48
col244 紅消鼠 BENIKESHINEZUMI #52433D
col245 藍墨茶 AISUMICHA #373C38
col246 檳榔子染 BINROJIZOME #3A3226
col247 消炭 KESHIZUMI #434343
col248 墨 SUMI #1C1C1C
col249 黒 KURO #080808
col250 呂 RO #0C0C0C
